"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.019711000E0,1.812313843E1,-3.181755066E0,-4.678140259E1,5.026998448E1
3.029769000E0,1.746180725E1,-3.118370056E0,-4.675888062E1,5.001031754E1
3.039828000E0,1.731613159E1,-2.828357697E0,-4.700494385E1,5.017282897E1
3.049886000E0,1.708184814E1,-2.799655914E0,-4.677911377E1,4.987898450E1
3.059945000E0,1.714012146E1,-2.612030029E0,-4.665155029E1,4.976920342E1
3.070003000E0,1.720593262E1,-2.595764160E0,-4.700637817E1,5.012366405E1
3.080062000E0,1.750112915E1,-2.375511169E0,-4.676855469E1,4.999230223E1
3.090121000E0,1.779589844E1,-2.298439026E0,-4.694595337E1,5.025832628E1
3.100179000E0,1.784152222E1,-2.208877563E0,-4.661761475E1,4.996399764E1
3.110238000E0,1.790745544E1,-2.227390289E0,-4.635571289E1,4.974424937E1
3.120296000E0,1.813877869E1,-2.234680176E0,-4.650836182E1,4.997035928E1
3.130355000E0,1.833792114E1,-2.123130798E0,-4.667187500E1,5.019014796E1
3.140413000E0,1.851820374E1,-2.186874390E0,-4.669778442E1,5.028309218E1
3.150472000E0,1.852174377E1,-2.325855255E0,-4.641659546E1,5.002964051E1
3.160530000E0,1.841580200E1,-2.262039185E0,-4.657678223E1,5.013636631E1
3.170589000E0,1.847746277E1,-2.412078857E0,-4.645242310E1,5.005059806E1
3.180647000E0,1.907734680E1,-2.600173950E0,-4.644732666E1,5.027981921E1
3.190706000E0,1.892774963E1,-2.989372253E0,-4.687728882E1,5.064263283E1
3.200765000E0,1.895965576E1,-2.975799561E0,-4.673318481E1,5.052043638E1
3.210823000E0,1.917402649E1,-3.042625427E0,-4.638531494E1,5.028417548E1
3.220878625E0,1.921488953E1,-3.168731689E0,-4.651293945E1,5.042525534E1
3.230936625E0,1.929727173E1,-3.215408325E0,-4.639453125E1,5.035053204E1
3.240995625E0,1.932221985E1,-3.475166321E0,-4.626300049E1,5.025624513E1
3.251053625E0,1.925668335E1,-3.369918823E0,-4.630517578E1,5.026276465E1
