"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.123090250E0,1.637057495E1,-2.654690170E1,-4.435595703E1,5.422346944E1
2.133148250E0,1.659675598E1,-2.640628433E1,-4.398516846E1,5.392067512E1
2.143207250E0,1.668800354E1,-2.626891327E1,-4.450643921E1,5.430808777E1
2.153266250E0,1.686637878E1,-2.632060623E1,-4.393463135E1,5.392124699E1
2.163325250E0,1.702226257E1,-2.636901474E1,-4.392453003E1,5.398561567E1
2.173384250E0,1.692985535E1,-2.641310883E1,-4.421560669E1,5.421523951E1
2.183443250E0,1.686642456E1,-2.626615143E1,-4.406005859E1,5.399699762E1
2.193502250E0,1.658862305E1,-2.648853683E1,-4.387066650E1,5.386520563E1
2.203561250E0,1.639273071E1,-2.632664490E1,-4.454867554E1,5.428073640E1
2.213620250E0,1.614996338E1,-2.622790909E1,-4.427828979E1,5.393784830E1
2.223679250E0,1.599620056E1,-2.640875244E1,-4.431863403E1,5.401334984E1
2.233738250E0,1.584104919E1,-2.646907425E1,-4.437475586E1,5.404322056E1
2.243797250E0,1.595384216E1,-2.669040298E1,-4.441885376E1,5.422118830E1
2.253856250E0,1.605064392E1,-2.688063431E1,-4.426037598E1,5.421413610E1
2.263915250E0,1.643110657E1,-2.649808121E1,-4.411956787E1,5.402467806E1
2.273973250E0,1.652650452E1,-2.662046814E1,-4.391592407E1,5.394796625E1
2.284032250E0,1.712319946E1,-2.640732193E1,-4.375149536E1,5.389567661E1
2.294091250E0,1.764138794E1,-2.608775330E1,-4.381903076E1,5.396199493E1
2.304150250E0,1.817308044E1,-2.591592407E1,-4.405532837E1,5.424728501E1
2.314209250E0,1.844789124E1,-2.555361176E1,-4.380230713E1,5.396252287E1
2.324268250E0,1.842433167E1,-2.531028748E1,-4.388879395E1,5.391004436E1
2.334327250E0,1.826945496E1,-2.537887192E1,-4.392831421E1,5.392176660E1
2.344386250E0,1.834855652E1,-2.525970459E1,-4.422708130E1,5.413646574E1
2.354445250E0,1.817202759E1,-2.526672363E1,-4.425015259E1,5.409903801E1
2.364504250E0,1.804193115E1,-2.538679886E1,-4.466720581E1,5.445328375E1
2.374563250E0,1.793408203E1,-2.553485107E1,-4.467050171E1,5.448957369E1
2.384622250E0,1.791598511E1,-2.543104172E1,-4.463558960E1,5.440639911E1
2.394681250E0,1.773397827E1,-2.532035446E1,-4.446594238E1,5.415564945E1
2.404740250E0,1.816984558E1,-2.518127823E1,-4.376922607E1,5.366549369E1
2.414798250E0,1.811630249E1,-2.515784073E1,-4.425064087E1,5.402996005E1
2.424857250E0,1.830177307E1,-2.505216217E1,-4.425375366E1,5.404591048E1
2.434916250E0,1.844673157E1,-2.488344955E1,-4.410757446E1,5.389755182E1
2.444975250E0,1.897717285E1,-2.465185928E1,-4.407986450E1,5.395258761E1
2.455034250E0,1.930300903E1,-2.447728729E1,-4.398233032E1,5.390908209E1
2.465093250E0,1.949841309E1,-2.423482513E1,-4.441714478E1,5.422543326E1
2.475152250E0,1.971408081E1,-2.411310577E1,-4.455593872E1,5.436284142E1
2.485211250E0,1.941903687E1,-2.386983871E1,-4.442776489E1,5.404344999E1
2.495270250E0,1.964927673E1,-2.383111191E1,-4.422735596E1,5.394511086E1
2.505329250E0,1.968832397E1,-2.374382019E1,-4.426022339E1,5.394781249E1
2.515388250E0,1.961650085E1,-2.368359756E1,-4.411813354E1,5.377852366E1
2.525447250E0,1.961585999E1,-2.365409851E1,-4.432070923E1,5.393165681E1
2.535506250E0,1.960958862E1,-2.374348831E1,-4.450027466E1,5.411620504E1
2.545565250E0,2.002424622E1,-2.360619354E1,-4.411614990E1,5.389301896E1
2.555623250E0,2.007217407E1,-2.346327591E1,-4.459683228E1,5.424292523E1
2.565682250E0,2.007467651E1,-2.336054230E1,-4.455331421E1,5.416369061E1
2.575741250E0,2.016291809E1,-2.326792526E1,-4.476077271E1,5.432739995E1
2.585800250E0,2.009997559E1,-2.305070877E1,-4.441992188E1,5.393026657E1
2.595859250E0,2.012547302E1,-2.310584259E1,-4.410476685E1,5.370423712E1
2.605918250E0,2.032516479E1,-2.284325409E1,-4.433215332E1,5.385412147E1
2.615977250E0,2.063914490E1,-2.286375046E1,-4.427841187E1,5.393795644E1
2.626036250E0,2.027557373E1,-2.290836716E1,-4.426525879E1,5.380804133E1
2.636095250E0,2.053709412E1,-2.291540146E1,-4.436791992E1,5.399444580E1
2.646154250E0,2.035899353E1,-2.311587524E1,-4.477032471E1,5.434348425E1
2.656213250E0,2.064228821E1,-2.337604523E1,-4.459991455E1,5.442146572E1
2.666272250E0,2.048762512E1,-2.310432816E1,-4.459558105E1,5.424314346E1
2.676331250E0,2.057604980E1,-2.301276398E1,-4.464431763E1,5.427776919E1
2.686389250E0,2.058358765E1,-2.295030975E1,-4.435461426E1,5.401604025E1
2.696448250E0,2.036651611E1,-2.322926331E1,-4.416171265E1,5.389480973E1
2.706507250E0,2.096780396E1,-2.336407471E1,-4.430236816E1,5.429759308E1
2.716566250E0,2.057929993E1,-2.355422974E1,-4.398208618E1,5.396974364E1
2.726625250E0,2.053666687E1,-2.355101013E1,-4.387509155E1,5.386490901E1
2.736684250E0,2.059793091E1,-2.367917633E1,-4.351815796E1,5.365452657E1
2.746743250E0,2.043519592E1,-2.395545578E1,-4.360299683E1,5.378366319E1
2.756802250E0,2.047500610E1,-2.386267090E1,-4.380346680E1,5.392028042E1
2.766861250E0,2.032197571E1,-2.413625717E1,-4.385528564E1,5.402617593E1
2.776916292E0,2.028749084E1,-2.410190582E1,-4.396771240E1,5.408922150E1
2.786975292E0,2.031008911E1,-2.408400726E1,-4.406307983E1,5.416727915E1
2.797034292E0,2.032849121E1,-2.383179855E1,-4.388211060E1,5.391513524E1
2.807093292E0,2.059812927E1,-2.363880539E1,-4.395422363E1,5.399120137E1
2.817152292E0,2.090171814E1,-2.372375488E1,-4.421734619E1,5.435873500E1
2.827210292E0,2.096697998E1,-2.329851151E1,-4.445217896E1,5.439146166E1
2.837269292E0,2.107785034E1,-2.292452621E1,-4.428329468E1,5.413704706E1
2.847328292E0,2.094462585E1,-2.256963730E1,-4.431619263E1,5.396286509E1
2.857387292E0,2.070178223E1,-2.253263474E1,-4.438854980E1,5.391314097E1
2.867446292E0,2.041032410E1,-2.250522614E1,-4.486087036E1,5.418084738E1
2.877505292E0,2.023091125E1,-2.282416534E1,-4.444659424E1,5.390484239E1
2.887564292E0,1.998580933E1,-2.319823074E1,-4.444680786E1,5.397322682E1
2.897623292E0,1.972990417E1,-2.363473511E1,-4.456286621E1,5.416381511E1
2.907682292E0,1.944018555E1,-2.378392410E1,-4.453802490E1,5.410389563E1
2.917741292E0,1.923262024E1,-2.399754715E1,-4.472424316E1,5.427737905E1
2.927800292E0,1.950207520E1,-2.433917236E1,-4.415548706E1,5.405953464E1
2.937859292E0,1.941842651E1,-2.466659927E1,-4.399658203E1,5.404827137E1
2.947918292E0,1.916981506E1,-2.497580338E1,-4.405221558E1,5.414674746E1
2.957977292E0,1.918620300E1,-2.517522430E1,-4.381964111E1,5.405611207E1
2.968035292E0,1.888934326E1,-2.535514832E1,-4.400601196E1,5.418689808E1
2.978094292E0,1.820855713E1,-2.566656876E1,-4.395742798E1,5.406088955E1
2.988153292E0,1.790522766E1,-2.558451080E1,-4.353964233E1,5.358045189E1
